FID_fishne,CPA_ID,area_km2,cap_MW,d_trans,d_sub,d_road,d_load_750,d_existing,d_EIA860fa,d_shore_m,m_seafloor,m_CF_MEAN,m_BOEM_lea,m_BOEM_pla,BathySlope,ocean_impa,HAPC_Area_,ocean_im_1,ocean_im_2,m_CF_wLoss,anngen_MWh,Shape_Leng,Shape_Area,major_port,turbine_ty,incap,ipm_region,prefSite,tech,metro_id,metro_region,cpa_mw,cf,path,resource_annuity,resource_fom,interconnect_annuity,lcoe,interconnect_capex_mw,total_interconnect_km,offshore_interconnect_km,ipm_region_y
40583,1516,16.0000002154,80.0,72.0685069139,75.7662247616,68.9954033792,275.600249597,205.630311886,116.922488083,67.4486635128,-1117.86718559,0.527016714215,0.0,1.0,0.0,1.0,1500000.0,2.8125,3.8125,0.463775,369333.0,16000.0,16000000.0,0,floating,128.0,WECC_PNW,1,offshorewind,38900,p5,128.0,0.43088737,"[1516, 201052]",245724.11,67317.94,83356.28,105.01804,1720849.8,293.41754150390625,293.41754150390625,p5
42540,1524,16.0000002168,80.0,57.551725821,62.1197151717,54.3843351713,261.35888928,190.177857952,102.631015379,53.3114223933,-176.829687357,0.522626821883,0.0,1.0,0.0,1.0,3500000.0,6.5625,7.5625,0.459912,366257.0,16000.0,16000000.0,0,floating,128.0,WECC_PNW,1,offshorewind,38900,p5,128.0,0.42790705,"[1524, 201052]",245724.11,67317.94,82201.51,105.44142,1697009.9,277.41754150390625,277.41754150390625,p5
44916,1544,15.9966359591,79.9832,70.8122571254,76.0456780588,69.0661925324,282.786721111,211.606788103,124.04433454,67.2366951882,-1328.83905411,0.529271389358,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.465759,370835.0,15955.7273227,15996710.9726,0,floating,127.97368778071323,WECC_PNW,1,offshorewind,38900,p5,127.97369,0.43091226,"[1544, 201052]",245724.11,67317.94,83884.15,105.151825,1731747.1,300.73126220703125,300.73126220703125,p5
45915,1568,16.000000215,80.0,72.9570852597,77.5947208785,71.1089612121,280.965820303,210.521253529,122.250439036,69.1098344904,-1311.44843292,0.528404041193,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.464996,370306.0,16000.0,16000000.0,0,floating,128.0,WECC_PNW,1,offshorewind,38900,p5,128.0,0.4308916,"[1568, 201052]",245724.11,67317.94,83764.56,105.12518,1729278.4,299.07440185546875,299.07440185546875,p5
46919,1587,16.000000216,80.0,63.3328895282,66.8258509637,60.0785534052,270.300796798,198.967307522,111.569819768,58.5069036508,-657.307810307,0.524837105535,0.0,1.0,0.0,1.0,6000000.0,11.25,12.25,0.461857,367806.0,16000.0,16000000.0,0,floating,128.0,WECC_PNW,1,offshorewind,38900,p5,128.0,0.43091378,"[1587, 201052]",245724.11,67317.94,82898.48,104.890335,1711398.5,287.07440185546875,287.07440185546875,p5
47089,1588,16.0000002157,80.0,68.9684171023,72.2641360857,65.3143893441,272.021580825,201.759225928,113.306995013,63.9143532329,-956.348438263,0.525723366998,0.0,1.0,0.0,1.0,5250000.0,9.84375,10.8438,0.462637,368427.0,16000.0,16000000.0,0,floating,128.0,WECC_PNW,1,offshorewind,38900,p5,128.0,0.43089318,"[1588, 201052]",245724.11,67317.94,83067.586,104.94015,1714889.8,289.41754150390625,289.41754150390625,p5
47371,1594,16.0000002174,80.0,49.1112783562,53.2919558228,45.4401344019,256.264496522,183.650696126,97.803662843,44.3696625313,-199.318749428,0.520302126184,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.457866,364628.0,16000.0,16000000.0,0,floating,128.0,WECC_PNW,1,offshorewind,38900,p5,128.0,0.42486554,"[1594, 201052]",245724.11,67317.94,82134.766,106.178314,1695632.1,276.492919921875,276.492919921875,p5
47440,1597,16.000000216,80.0,60.8497688212,65.0207566875,58.7136435184,272.193053195,200.115292695,113.53186171,56.6337643486,-629.626560211,0.525578740053,0.0,1.0,0.0,1.0,1000000.0,1.875,2.875,0.462509,368326.0,16000.0,16000000.0,0,floating,128.0,WECC_PNW,1,offshorewind,38900,p5,128.0,0.43091848,"[1597, 201052]",245724.11,67317.94,83018.06,104.92087,1713867.2,288.7312316894531,288.7312316894531,p5
47556,1605,16.0000002165,80.0,61.5079405425,65.4314485811,57.9957352156,264.900407981,194.032682727,106.158402982,56.8457326732,-304.093751431,0.523381020874,0.0,1.0,0.0,1.0,6750000.0,12.6562,13.6562,0.460575,366785.0,16000.0,16000000.0,0,floating,128.0,WECC_PNW,1,offshorewind,38900,p5,128.0,0.4309109,"[1605, 201052]",245724.11,67317.94,82490.195,104.78288,1702969.9,281.41754150390625,281.41754150390625,p5
48020,1624,14.1067124554,70.5336,52.4244868145,55.1544723605,48.0260147764,261.72081839,188.686865909,103.342379135,46.7017249954,-277.648276757,0.521966733809,0.0,1.0,0.0,1.0,7500000.0,15.9499,16.9499,0.459331,322510.0,14918.2180861,14107043.9275,0,floating,112.85635142036352,WECC_PNW,1,offshorewind,38900,p5,112.85635,0.4288767,"[1624, 201052]",245724.11,67317.94,82550.52,105.29592,1704215.1,282.2533264160156,282.2533264160156,p5
