ipm_region,capacity_mw,id,mw
p127,4667.7,p127,4667.7
p132,115.5,p132,115.5
p85,953.7,p85,953.7
p75,90.8,p75,90.8
p21,63.2,p21,63.2
p99,649.5,p99,649.5
p104,16.6,p104,16.6
p90,1749.5,p90,1749.5
p40,279.9,p40,279.9
p51,448.3,p51,448.3
p129,328.8,p129,328.8
p74,133.9,p74,133.9
p53,7.0,p53,7.0
p68,7.1,p68,7.1
p14,363.7,p14,363.7
p64,311.5,p64,311.5
p31,81.5,p31,81.5
p42,0.5,p42,0.5
p96,916.5,p96,916.5
p19,179.7,p19,179.7
p115,128.4,p115,128.4
p43,191.6,p43,191.6
p2,3760.5,p2,3760.5
p17,1798.9,p17,1798.9
p94,1956.7,p94,1956.7
p80,33.5,p80,33.5
p28,1543.8,p28,1543.8
p81,3.6,p81,3.6
p107,77.7,p107,77.7
p24,240.2,p24,240.2
p112,126.4,p112,126.4
p71,27.0,p71,27.0
p34,381.0,p34,381.0
p109,317.4,p109,317.4
p46,287.4,p46,287.4
p4,13335.2,p4,13335.2
p95,432.5,p95,432.5
p98,502.1,p98,502.1
p122,817.2,p122,817.2
p103,212.0,p103,212.0
p92,2504.4,p92,2504.4
p101,43.5,p101,43.5
p105,27.3,p105,27.3
p123,530.8,p123,530.8
p61,66.0,p61,66.0
p134,679.5,p134,679.5
p9,8659.4,p9,8659.4
p116,209.1,p116,209.1
p93,694.5,p93,694.5
p97,1383.1,p97,1383.1
p65,41.1,p65,41.1
p36,583.4,p36,583.4
p100,3.0,p100,3.0
p5,7831.4,p5,7831.4
p131,269.5,p131,269.5
p26,183.8,p26,183.8
p10,1159.9,p10,1159.9
p18,681.2,p18,681.2
p8,75.0,p8,75.0
p118,166.9,p118,166.9
p11,8.7,p11,8.7
p7,203.1,p7,203.1
p58,192.0,p58,192.0
p89,1568.8,p89,1568.8
p84,3.0,p84,3.0
p55,268.0,p55,268.0
p1,2177.1,p1,2177.1
p16,604.2,p16,604.2
p6,418.1,p6,418.1
p76,78.6,p76,78.6
p130,516.3,p130,516.3
p12,12.8,p12,12.8
p44,1.0,p44,1.0
p50,376.0,p50,376.0
p38,1644.4,p38,1644.4
p77,43.1,p77,43.1
p66,167.7,p66,167.7
p15,1724.8,p15,1724.8
p33,289.8,p33,289.8
p3,2018.6,p3,2018.6
p70,184.4,p70,184.4
p114,2.2,p114,2.2
p27,1294.2,p27,1294.2
p133,2.8,p133,2.8
p126,14.7,p126,14.7
p25,80.9,p25,80.9
p56,367.2,p56,367.2
p63,148.9,p63,148.9
p13,1039.4,p13,1039.4
p39,50.0,p39,50.0
p121,20.0,p121,20.0
p72,208.0,p72,208.0
p117,53.3,p117,53.3
