ipm_region,capacity_mw,id,mw
p41,93.7,p41,93.7
p127,1476.2,p127,1476.2
p132,265.3,p132,265.3
p99,3591.1,p99,3591.1
p79,229.2,p79,229.2
p104,5.6,p104,5.6
p90,277.2,p90,277.2
p21,92.0,p21,92.0
p50,47.5,p50,47.5
p12,1002.5,p12,1002.5
p1,16.0,p1,16.0
p6,91.8,p6,91.8
p16,160.0,p16,160.0
p38,1.0,p38,1.0
p54,35.1,p54,35.1
p129,146.5,p129,146.5
p68,88.3,p68,88.3
p64,196.8,p64,196.8
p42,5.0,p42,5.0
p74,2.3,p74,2.3
p131,1282.0,p131,1282.0
p5,625.0,p5,625.0
p55,20.4,p55,20.4
p111,155.8,p111,155.8
p89,326.7,p89,326.7
p78,237.2,p78,237.2
p118,109.0,p118,109.0
p84,10.5,p84,10.5
p20,83.0,p20,83.0
p58,444.5,p58,444.5
p8,10.1,p8,10.1
p86,200.0,p86,200.0
p33,482.5,p33,482.5
p125,87.8,p125,87.8
p25,2113.6,p25,2113.6
p27,85.2,p27,85.2
p67,1819.3,p67,1819.3
p3,19.2,p3,19.2
p114,280.0,p114,280.0
p39,4.4,p39,4.4
p80,286.1,p80,286.1
p112,1665.1,p112,1665.1
p30,290.9,p30,290.9
p94,4109.4,p94,4109.4
p107,328.6,p107,328.6
p43,1009.8,p43,1009.8
p17,80.0,p17,80.0
p9,5670.1,p9,5670.1
p134,355.8,p134,355.8
p100,217.5,p100,217.5
p45,114.0,p45,114.0
p93,55.0,p93,55.0
p113,219.0,p113,219.0
p10,14784.7,p10,14784.7
p102,2097.2,p102,2097.2
p11,154.2,p11,154.2
p26,70.1,p26,70.1
p29,13.4,p29,13.4
p7,237.8,p7,237.8
p18,14.0,p18,14.0
p32,80.0,p32,80.0
p126,984.8,p126,984.8
p13,3980.6,p13,3980.6
p121,101.7,p121,101.7
p133,357.3,p133,357.3
p15,240.0,p15,240.0
p87,948.7,p87,948.7
p63,5356.2,p63,5356.2
p70,143.7,p70,143.7
p56,14.7,p56,14.7
p72,54.3,p72,54.3
p57,3.0,p57,3.0
p28,4027.2,p28,4027.2
p81,508.9,p81,508.9
p69,8.1,p69,8.1
p128,152.1,p128,152.1
p60,2749.7,p60,2749.7
p115,55.6,p115,55.6
p91,1834.7,p91,1834.7
p71,2.8,p71,2.8
p124,104.3,p124,104.3
p2,153.2,p2,153.2
p65,2937.5,p65,2937.5
p97,1394.7,p97,1394.7
p59,15.5,p59,15.5
p119,1.5,p119,1.5
p31,1548.9,p31,1548.9
p106,92.2,p106,92.2
p47,276.5,p47,276.5
p96,1559.8,p96,1559.8
p52,21.0,p52,21.0
p73,5.6,p73,5.6
p53,14.3,p53,14.3
p83,650.8,p83,650.8
p120,158.5,p120,158.5
p82,78.0,p82,78.0
p48,500.0,p48,500.0
p85,1379.0,p85,1379.0
p40,24.6,p40,24.6
p75,257.5,p75,257.5
p101,6236.2,p101,6236.2
p109,83.4,p109,83.4
p123,464.7,p123,464.7
p92,560.9,p92,560.9
p105,1499.8,p105,1499.8
p46,32.5,p46,32.5
p44,143.0,p44,143.0
p88,153.1,p88,153.1
p77,615.1,p77,615.1
p76,410.0,p76,410.0
p130,2.4,p130,2.4
p98,5113.2,p98,5113.2
p34,1782.7,p34,1782.7
p122,443.2,p122,443.2
p61,3556.1,p61,3556.1
p103,707.2,p103,707.2
p62,2504.8,p62,2504.8
p95,64.5,p95,64.5
