FID_fishne,CPA_ID,area_km2,cap_MW,d_trans,d_sub,d_road,d_load_750,d_existing,d_EIA860fa,d_shore_m,m_seafloor,m_CF_MEAN,m_BOEM_lea,m_BOEM_pla,BathySlope,ocean_impa,HAPC_Area_,ocean_im_1,ocean_im_2,m_CF_wLoss,anngen_MWh,Shape_Leng,Shape_Area,major_port,turbine_ty,incap,ipm_region,prefSite,tech,metro_id,metro_region,cpa_mw,cf,path,resource_annuity,resource_fom,interconnect_annuity,lcoe,interconnect_capex_mw,total_interconnect_km,offshore_interconnect_km,ipm_region_y
34977,13040,15.2982788971,76.4914,28.558412605,80.8907006,26.9984153261,98.3713866888,40.5345013995,31.6640376332,23.5805834141,-42.928333346,0.571499541402,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.50292,382942.0,15366.8305121,15298601.4922,0,fixed,76.493007460861,NENG_CT,1,offshorewind,35620_p126,p126,76.493004,0.46800554,"[13040, 140907]",184326.95,72219.8,61287.977,77.525795,1265260.4,167.3748779296875,167.3748779296875,p126
36926,13058,16.0000002357,80.0,28.1235332241,64.2365509571,27.3275005583,107.001903542,53.4445715492,29.243397615,25.541186579,-46.2515625954,0.579171460122,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.509671,405883.0,16000.0,16000000.0,0,fixed,80.0,NENG_CT,1,offshorewind,35620_p128,p128,80.0,0.47631106,"[13058, 129556]",184326.95,72219.8,62651.47,76.50075,1293408.9,190.6903839111328,190.6903839111328,p128
37580,13067,16.0000002372,80.0,28.0686085802,73.550444581,27.2464993901,100.772035922,42.2128482832,28.1620267544,24.9607813192,-48.607812345,0.575020769611,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.506018,402975.0,16000.0,16000000.0,0,fixed,80.0,NENG_CT,1,offshorewind,35620_p126,p126,80.0,0.47079876,"[13067, 140907]",184326.95,72219.8,62393.23,77.33383,1288077.8,182.6885986328125,182.6885986328125,p126
38157,13089,16.0000002377,80.0,31.5101341373,80.9113805818,29.9458821435,100.944566546,42.7006312567,32.371821709,25.9550385133,-44.7390623093,0.57257491257,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.503866,401260.0,16000.0,16000000.0,0,fixed,80.0,NENG_CT,1,offshorewind,35620_p126,p126,80.0,0.46837208,"[13089, 140907]",184326.95,72219.8,61576.67,77.53549,1271220.2,171.3748779296875,171.3748779296875,p126
38341,13097,16.0000002369,80.0,27.6824278622,70.265041758,26.9915707798,101.161267679,43.0761431181,27.571147737,24.4636527221,-47.2234374285,0.575564050116,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.506496,403355.0,16000.0,16000000.0,0,fixed,80.0,NENG_CT,1,offshorewind,35620_p126,p126,80.0,0.47070536,"[13097, 140907]",184326.95,72219.8,62801.508,77.4482,1296506.4,188.3454437255859,188.3454437255859,p126
38431,13100,16.0000002366,80.0,28.3949942083,67.2954997638,27.4672042471,101.863638914,44.6334254834,28.108860391,23.966524125,-46.8031249642,0.576091899537,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.506961,403725.0,16000.0,16000000.0,0,fixed,80.0,NENG_CT,1,offshorewind,35620_p126,p126,80.0,0.47253796,"[13100, 140907]",184326.95,72219.8,63209.785,77.24647,1304935.1,194.00228881835935,194.00228881835935,p126
38483,13104,16.0000002356,80.0,31.3296657915,67.8045727341,30.6388225323,109.656515444,54.4376290323,31.8453805565,28.6072348241,-48.8187500238,0.580379859544,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.510734,406730.0,16000.0,16000000.0,0,fixed,80.0,NENG_CT,1,offshorewind,35620_p126,p126,80.0,0.4765381,"[13104, 140907]",184326.95,72219.8,64195.453,76.83417,1325283.8,207.65914916992188,207.65914916992188,p126
38537,13106,16.0000002363,80.0,26.961454504,64.6853343785,25.7228086885,102.872735879,46.816582772,26.5878387784,23.469395528,-46.8218750954,0.576877824962,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.507652,404276.0,16000.0,16000000.0,0,fixed,80.0,NENG_CT,1,offshorewind,35620_p126,p126,80.0,0.47346833,"[13106, 140907]",184326.95,72219.8,63618.066,77.193115,1313363.9,199.65914916992188,199.65914916992188,p126
39001,13122,16.0000002374,80.0,33.2160584722,81.1004642876,32.3036955927,103.608307153,45.113979956,33.5380376648,28.5239581614,-47.2890626192,0.574261408299,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.50535,402442.0,16000.0,16000000.0,0,fixed,80.0,NENG_CT,1,offshorewind,35620_p126,p126,80.0,0.47281066,"[13122, 140907]",184326.95,72219.8,61865.367,76.87732,1277180.2,175.3748779296875,175.3748779296875,p126
39059,13124,16.000000236,80.0,29.1677738284,66.1424695915,28.0993150178,106.243473132,50.6127014224,29.0632766539,26.0383151761,-48.2875000238,0.578999973834,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.50952,405763.0,16000.0,16000000.0,0,fixed,80.0,NENG_CT,1,offshorewind,35620_p126,p126,80.0,0.472493,"[13124, 140907]",184326.95,72219.8,63906.758,77.42221,1319323.8,203.65914916992188,203.65914916992188,p126
