p99,p133,p128,p131,p1,p10,p101,p102,p103,p11,p111,p123,p125,p126,p127,p132,p134,p37,p43,p5,p58,p64,p65,p66,p67,p74,p75,p76,p79,p80,p9,p90,p91,p95,p97,p98
0.7000000000000001,0.0,0.0,0.0,0.356,0.983,0.983,0.223,0.983,0.983,0.983,0.457,0.414,0.137,0.983,0.0,0.039,0.092,0.232,0.027,0.436,0.132,0.159,0.138,0.23,0.983,0.983,0.983,0.515,0.983,0.0,0.069,0.074,0.983,0.983,0.983
0.931,0.0,0.0,0.0,0.368,0.983,0.983,0.281,0.983,0.983,0.983,0.647,0.607,0.256,0.983,0.0,0.027,0.317,0.6,0.051,0.357,0.126,0.176,0.297,0.203,0.983,0.983,0.983,0.415,0.983,0.0,0.099,0.056,0.983,0.983,0.983
0.983,0.0,0.0,0.0,0.369,0.983,0.983,0.193,0.983,0.983,0.983,0.655,0.638,0.383,0.983,0.001,0.038,0.566,0.983,0.059,0.398,0.098,0.135,0.506,0.029,0.983,0.983,0.983,0.218,0.983,0.0,0.163,0.076,0.983,0.983,0.983
0.983,0.052,0.019,0.007,0.459,0.983,0.983,0.366,0.983,0.983,0.983,0.805,0.824,0.565,0.983,0.059,0.019,0.882,0.983,0.077,0.339,0.074,0.14,0.582,0.122,0.983,0.983,0.983,0.087,0.983,0.0,0.148,0.109,0.983,0.983,0.983
0.983,0.09,0.079,0.061,0.386,0.983,0.983,0.382,0.983,0.983,0.983,0.983,0.983,0.679,0.983,0.104,0.053,0.983,0.983,0.084,0.22,0.119,0.121,0.539,0.295,0.983,0.983,0.983,0.066,0.983,0.0,0.129,0.16,0.983,0.983,0.983
0.983,0.129,0.143,0.102,0.454,0.983,0.983,0.477,0.983,0.983,0.983,0.983,0.983,0.907,0.983,0.199,0.098,0.983,0.983,0.114,0.266,0.102,0.147,0.594,0.631,0.983,0.983,0.983,0.069,0.983,0.0,0.2,0.284,0.983,0.983,0.983
0.983,0.263,0.23,0.174,0.493,0.983,0.983,0.426,0.983,0.983,0.983,0.983,0.983,0.975,0.983,0.319,0.069,0.983,0.983,0.152,0.591,0.384,0.074,0.655,0.726,0.775,0.983,0.983,0.08,0.983,0.0,0.316,0.511,0.983,0.983,0.983
0.983,0.409,0.353,0.254,0.577,0.983,0.983,0.411,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.481,0.099,0.983,0.983,0.201,0.752,0.652,0.218,0.684,0.893,0.361,0.983,0.983,0.341,0.983,0.0,0.529,0.215,0.983,0.983,0.983
0.983,0.441,0.41,0.372,0.624,0.983,0.983,0.569,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.581,0.166,0.983,0.983,0.232,0.749,0.982,0.389,0.636,0.832,0.35,0.983,0.983,0.499,0.983,0.0,0.714,0.249,0.983,0.983,0.983
0.983,0.8210000000000001,0.8250000000000001,0.532,0.729,0.983,0.983,0.53,0.983,0.983,0.983,0.983,0.983,0.983,0.983,0.765,0.302,0.983,0.983,0.246,0.512,0.788,0.587,0.59,0.831,0.269,0.954,0.911,0.465,0.983,0.0,0.7,0.125,0.983,0.983,0.983
