Region,Biomass,Coal,Coal IGCC,Coal IGCC+CCS,Gas CC,Gas CC+CCS,Gas Turbine,Nuclear
AL_and_e_MS_and_FL_pnh,6759,7944,8531,8334,76800,73401,114848,13143
AZ,2686,1484,1793,1282,25877,13206,91105,713
Bay_area,697,619,697,653,24353,21876,51330,934
CO,3334,3496,4667,3700,43470,34420,137153,1953
CT_and_RT,0,0,0,0,3638,3638,9436,297
Central_FL,458,364,452,451,13477,12568,31119,1503
Chicago_and_sw_MI,1501,1139,1461,1262,13981,13065,29957,4058
DE_and_NJ,0,0,0,0,2781,2278,10845,177
GA,4136,3407,4066,3745,46277,42460,85820,9471
Houston_ERCOT,0,0,0,0,897,897,5967,158
IA,14075,9363,12594,10839,82826,75082,125253,8528
ID_and_w_MT_and_w_WY,9973,9430,10889,9358,115684,97938,216454,6925
IL_no_Chicago,11697,11982,14333,13266,67926,63076,95941,8832
IN_and_W_KY,2944,4496,4577,4575,46353,45289,86684,10271
KS_and_w_MO,21070,13379,16901,14858,118824,103433,254418,10665
LAX,46,46,46,46,3536,2560,30545,256
LA_and_e_TX,4897,5151,5750,5594,42398,41844,61438,9123
MA,0,0,0,0,3136,3106,10403,262
MD_and_VA_Island,250,303,303,303,5306,5211,14509,496
ME,1283,1115,1121,546,11864,7083,17695,1887
MI,1495,616,1057,720,27967,24010,59672,2507
MN_and_e_ND,19050,5984,10472,7707,82151,62998,198598,5861
NC,1687,1589,1672,1173,35558,26170,67840,7117
NE_and_e_SD_and_w_ND_and_e_MT,20147,12568,15653,11547,155824,100217,414388,9085
NM_and_w_TX,1663,408,1348,235,32306,12523,136327,26
NV_and_UT_and_n_CA,4172,2475,3364,2993,20836,17525,113911,411
NY,2496,2406,2496,2189,50489,44158,73301,7675
New_York_City,0,0,0,0,12,12,2349,5
OH,1695,2511,2728,2662,43267,39869,95453,7927
OK_and_e_NM_and_nw_TX,13106,9696,11603,10053,142352,117347,322146,10317
PA,3302,5523,5711,5625,50609,49879,83618,8110
SC,882,866,882,880,22132,20867,39058,4713
San_Diego,21,0,0,0,24,24,2938,0
TN_and_s_KY,4656,5087,5245,5143,54564,53682,90127,8421
VA,3421,3110,3769,3178,41726,40029,62550,8127
VT_and_NH,1908,1839,1908,870,13680,8683,20752,2612
WA_and_OR,6599,4877,5299,4443,73511,54338,132238,6047
WI_and_w_MI,4993,3623,4702,4026,54795,49097,88779,5561
WV,2893,5346,5534,5496,29938,29841,39095,7227
e_AR_and_w_MS,8615,7967,8599,8290,76575,75601,109130,10540
e_MO,5967,4633,5819,4668,49656,40503,70896,4641
e_Texas_ERCOT,6061,5491,7046,6147,86681,72980,172899,5420
e_WY_and_w_SD,5017,2633,3920,2733,38262,25009,103846,1693
n_KY,4047,10269,11474,11054,33144,32694,47490,7460
se_FL,0,0,0,0,452,240,5281,148
w_TX_ERCOT,4621,1392,2734,1692,71511,49467,279486,1665
TOTAL (km²),214320,174627,211216,182336,2037426,1710194,4313088,222968
